claim_id,company,text,flags,vagueness,llm_label,llm_reason
goog_sr_096,Alphabet,"Category 1 (Purchased goods and services) includes upstream emissions from manufacturing consumer devices and spare parts, Alphabet's food program, and additional goods and services purchased for operations.",SCOPE_BOUNDARY_UNCLEAR,0.35,A,"Clearly defines the scope of Category 1 Scope 3 emissions with specific sub-categories (consumer devices, food program, other goods/services), providing a verifiable and methodologically grounded disclosure."
goog_sr_105,Alphabet,We calculate electricity procured from renewable sources (%) on an annual basis by dividing the megawatt-hours of renewable electricity procured by the total megawatt-hours of electricity consumed by our global operations.,,0.7,A,"Provides a clear, auditable calculation methodology (MWh renewable / MWh total) applied to global operations annually, making the metric verifiable despite not disclosing specific figures here."
goog_sr_106,Alphabet,"Renewable electricity procured includes contractual instruments, on-site renewable electricity generation, and renewable electricity in the electric grids where our facilities are located.",,0.7,C,"Including 'renewable electricity already in the electric grids' (i.e., grid-average renewable content) alongside contractual instruments conflates market-based procurement with location-based grid mix, potentially inflating the apparent renewable percentage."
goog_sr_107,Alphabet,"To achieve our 100% renewable energy match, we first consider both our on-site renewable electricity generation and the renewable electricity already in the electric grids where our facilities are located.",SCOPE2_METHOD_UNSTATED;MATCHING_LANGUAGE;SCOPE_BOUNDARY_UNCLEAR,0.35,C,"The '100% renewable energy match' relies partly on grid-average renewable content rather than additionality-based procurement, and the matching framing without clear market-based/location-based distinction creates a misleadingly strong impression of renewable energy use."
goog_sr_108,Alphabet,We then procure renewable electricity through contractual instruments to achieve our 100% renewable energy match.,SCOPE2_METHOD_UNSTATED;MATCHING_LANGUAGE;SCOPE_BOUNDARY_UNCLEAR,0.35,C,"Achieving a '100% match' via contractual instruments (RECs/PPAs) without specifying temporal or geographic matching presents purchased certificates as equivalent to actual renewable consumption, which is an accounting choice that overstates real-world clean energy impact."
goog_sr_117,Alphabet,"Alphabet utilizes the operational control approach, as defined by the GHG Protocol, to establish relevant operations for emissions, energy, and water metrics at Alphabet's owned and leased data centers, offices, and other assets.",,0.7,A,"Clearly states the GHG Protocol operational control approach and defines the boundary (owned and leased data centers, offices, and other assets), providing a verifiable and specific methodology disclosure."
goog_sr_134,Alphabet,Alphabet uses a 25-year estimated lifespan for solar panels in both annual and lifetime emissions reduction methods.,SCOPE_BOUNDARY_UNCLEAR,0.35,A,"States a specific, concrete assumption (25-year lifespan for solar panels) applied consistently to both calculation methods, making it a checkable methodological disclosure rather than vague or misleading."
msft_sr_146,Microsoft,Select large-scale Microsoft suppliers are required to transition to 100% carbon-free electricity for their delivered goods and services.,SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR,0.35,C,"Requires 'select large-scale' suppliers to use 100% carbon-free electricity but omits the accounting method (market- vs. location-based) and scope boundary, creating a misleadingly ambitious impression without verifiable specifics."
msft_sr_148,Microsoft,Renewable diesel is now in use in Microsoft's road freight operations in Europe and California.,,0.7,B,"States renewable diesel is 'in use' in Europe and California road freight but provides no quantification, coverage scope, or share of operations, making it unfalsifiable as stated."
msft_sr_150,Microsoft,"Microsoft's alternative fuel and logistics efforts have reduced emissions by over 17,000 metric tons of CO2.",SCOPE_BOUNDARY_UNCLEAR,0.35,A,"Provides a concrete numerical figure (17,000+ metric tons CO2) for a defined activity (alternative fuel and logistics), though scope/boundary and baseline period are not specified, slightly limiting full verifiability."
msft_sr_168,Microsoft,Chip-level liquid cooling eliminates the need for evaporation to align with Microsoft's water positive 2030 commitment.,SCOPE_BOUNDARY_UNCLEAR;WATER_ACCOUNTING_VAGUE,0.15,C,"Links a specific technology (chip-level liquid cooling) to a 'water positive 2030 commitment' without defining what 'water positive' means or how savings are measured, lending false precision to a vague accounting concept."
msft_sr_170,Microsoft,"In 2024, Microsoft introduced a new target requiring suppliers to transition to 100% carbon-free electricity for goods and services delivered to Microsoft by 2030.",SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"The 2030 supplier electricity target lacks interim milestones, omits the accounting method for 'carbon-free electricity,' and 'select large-scale suppliers' boundary is undefined, creating an optimistic but unverifiable pledge."
msft_sr_171,Microsoft,"Microsoft is deploying electric vehicle trucking in the United States, Asia, and Europe for more sustainable logistics operations.",,0.7,B,"States EV trucking is being 'deployed' across three regions with no data on fleet share, emissions impact, or timeline, making the sustainability claim unfalsifiable."
msft_sr_175,Microsoft,"In 2024, Microsoft signed four groundbreaking PPAs with Engie requiring that 100% of photovoltaic modules—from construction through end of life—will be reused or recycled.",GRID_MISMATCH_RISK;FUTURE_PROMISE_NO_MILESTONE,0.15,A,"Identifies specific counterparty (Engie), number of PPAs (four), and a concrete, checkable contractual commitment (100% reuse/recycle of PV modules from construction through end-of-life), making it independently verifiable despite a future-oriented scope."
msft_sr_182,Microsoft,Microsoft's approach of using excess datacenter heat to power DAC systems has shown promise in offsetting the carbon footprint of AI workloads.,,0.7,B,"Uses vague language ('shown promise') with no quantified emissions offset, no defined scope, and no evidence that excess-heat-powered DAC is operational at scale, making the claim unfalsifiable."
msft_sr_184,Microsoft,"Microsoft participates in the IMEC Sustainable Semiconductor Technologies and Systems program, which assesses and works to reduce the environmental impacts of semiconductor manufacturing.",,0.7,B,"Describes participation in an industry program with no metrics, outcomes, or commitments attributable to Microsoft, rendering the environmental benefit claim unverifiable."
msft_sr_191,Microsoft,Microsoft is incorporating low-carbon requirements for materials and equipment in datacenter construction into its contracts.,,0.7,B,"States low-carbon requirements are being 'incorporated into contracts' with no definition of standards, thresholds, or coverage, making the claim too vague to verify or falsify."
msft_sr_195,Microsoft,"Microsoft funds projects that restore, reuse, and reduce freshwater consumption in water-stressed locations where we operate.",,0.7,B,"No quantities, timelines, or measurable outcomes are provided for the water projects, making the claim unfalsifiable rhetoric."
msft_sr_196,Microsoft,Microsoft invests in water solutions across approximately 40 priority locations worldwide.,SCOPE_BOUNDARY_UNCLEAR,0.35,B,"The '~40 priority locations' figure lacks any definition of investment amounts, outcomes, or what qualifies as a 'water solution,' leaving it unverifiable."
msft_sr_197,Microsoft,"Microsoft invests in solutions such as rainwater harvesting, groundwater replenishment, and irrigation modernization.",WATER_ACCOUNTING_VAGUE,0.7,B,"Listing solution types without quantities, locations, or outcomes provides no checkable specifics about actual impact."
msft_sr_198,Microsoft,Microsoft set its water replenishment target in 2020.,SCOPE_BOUNDARY_UNCLEAR;WATER_ACCOUNTING_VAGUE,0.15,B,"Stating only that a target was set in 2020 with no target value, scope, or progress metrics is uninformative and unfalsifiable."
msft_sr_212,Microsoft,"Microsoft's 13 access initiatives, when fully implemented, will serve over 1.6 million people across Brazil, India, Indonesia, Mexico, Chile, the United States, Malaysia, Kenya, and Nigeria.",FUTURE_PROMISE_NO_MILESTONE,0.35,C,"The '1.6 million people' figure is contingent on full future implementation with no interim milestones, creating an optimistic impression without committed near-term deliverables."
msft_sr_214,Microsoft,Improvements surfaced in our 2022 audit eliminated 90% of excess water use instances.,SCOPE_BOUNDARY_UNCLEAR,0.0,A,"References a specific 2022 audit with a concrete quantified outcome (90% reduction of excess water use instances), making it independently verifiable in principle."
msft_sr_227,Microsoft,"By harvesting and recertifying decommissioned server components no longer available on the market, we are meeting new demand while reducing waste.",,0.7,B,"The claim describes an activity (harvesting and recertifying components) without any quantified waste reduction or scope boundary, making impact unverifiable."
msft_sr_230,Microsoft,We are creating a direct channel with global recycling partners to help achieve best-in-class recycling efficiencies across material types.,,0.7,B,"'Best-in-class recycling efficiencies' is vague marketing language with no defined metrics, partners, or timelines."
msft_sr_235,Microsoft,"Microsoft Devices supply chain transitioned from palletized containers to loose-loaded containers for ocean shipments of Xbox consoles from contract manufacturers, driving emissions savings of 136 mtCO2e through load optimization.",SCOPE_BOUNDARY_UNCLEAR,0.35,A,"Provides a specific, quantified emissions saving (136 mtCO2e) tied to a concrete operational change (load optimization for Xbox ocean shipments), which is verifiable."
msft_sr_238,Microsoft,"Nature-based design solutions such as native landscaping, stormwater management, and biodiversity enhancements are reducing Microsoft's environmental footprint at datacenters.",,0.7,B,"'Reducing environmental footprint' through nature-based design is stated without any quantified reduction or defined boundary, making it unfalsifiable rhetoric."
msft_sr_278,Microsoft,"Microsoft has developed a functional printed circuit board prototype that demonstrates how vitrimers can facilitate component disassembly, recycling, and reuse.",,0.7,B,"The claim describes a prototype and its intended capabilities but provides no verifiable specifications, performance data, or independent validation to substantiate the environmental benefit."
msft_sr_279,Microsoft,"Microsoft has developed generative AI methods for design of next-generation vitrimers with enhanced strength, flexibility, and recyclability.",,0.7,B,"The claim uses vague qualitative descriptors ('enhanced strength, flexibility, and recyclability') with no measurable benchmarks, published results, or third-party verification to make it checkable."
amzn_sr_281,Amazon,Amazon is one of the most energy-efficient data center operators in the world.,,0.7,B,"No specific metrics, benchmarks, or scope defined; 'most energy-efficient in the world' is unfalsifiable rhetoric."
amzn_sr_282,Amazon,Amazon is an early investor in new technologies like small modular reactors (SMRs).,,0.7,B,"'Early investor' in SMRs provides no investment amounts, project names, or verifiable specifics, making it unfalsifiable."
amzn_sr_285,Amazon,Amazon's water replenishment projects have helped it get 75% of the way toward its goal to be water positive by 2030.,SCOPE_BOUNDARY_UNCLEAR;WATER_ACCOUNTING_VAGUE;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"Water replenishment projects often rely on vague accounting (volume replenished vs. consumed, project boundaries unclear), and 'water positive' goal lacks defined interim milestones or methodology, creating a misleading impression of progress."
amzn_sr_287,Amazon,Amazon constructed its first delivery station using mass timber.,,0.7,B,"States a singular construction milestone but provides no verifiable location, scale, or environmental benefit data, making it largely rhetorical."
amzn_sr_290,Amazon,Amazon's goal is to reach net-zero carbon emissions across its global operations by 2040.,OFFSET_UNDISCLOSED;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"Net-zero by 2040 pledge does not disclose reliance on offsets or removals, has no interim milestones, and omits scope boundaries, creating an optimistic impression without substantive commitments."
amzn_sr_292,Amazon,Amazon has reduced emissions per shipped unit by 7% compared to 2024.,SCOPE_BOUNDARY_UNCLEAR,0.15,C,"A 7% reduction vs. 2024 is a cherry-picked short-term baseline that could obscure longer-term trends, and the scope boundary (which emission categories) is undefined."
amzn_sr_293,Amazon,Amazon has reduced emissions per shipped unit by 39% compared to 2019.,SCOPE_BOUNDARY_UNCLEAR,0.15,C,"39% intensity reduction omits scope boundary (Scope 1/2/3) and does not clarify whether absolute emissions rose, potentially misleading on overall climate impact."
amzn_sr_295,Amazon,100% of the electricity consumed by Amazon was matched with renewable energy sources in 2025.,SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR,0.15,C,"'Matched' framing indicates market-based accounting (RECs/PPAs) without disclosing method or geographic matching, which can overstate actual renewable electricity use on a physical grid basis."
amzn_sr_296,Amazon,Amazon matched 100% of its electricity consumption with renewable energy for the third consecutive year in 2025.,SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR,0.15,C,Same 'matched' market-based framing as amzn_sr_295; three consecutive years of claims do not change the underlying accounting concern about physical versus contractual renewable energy.
amzn_sr_297,Amazon,"Amazon matched 100% of the electricity consumed by its global operations with renewable energy by 2025, five years ahead of its original target of 2030.",SCOPE2_METHOD_UNSTATED;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"Claiming to have met a 2030 target five years early via 'matched' renewable energy relies on market-based accounting without disclosing methodology, overstating the physical reality of grid-level renewable consumption."
amzn_sr_299,Amazon,Amazon makes substantial investments in building new energy generation and transmission infrastructure.,,0.7,B,"No dollar figures, project counts, or measurable outcomes are provided, making the claim unfalsifiable rhetoric."
amzn_sr_301,Amazon,"Emissions from our direct operations increased 2% compared to 2024, while we delivered more packages to more customers.",SCOPE_BOUNDARY_UNCLEAR,0.15,C,"The boundary 'direct operations' is undefined (scope 1 only? scope 1+2?), and comparing a 2% emissions increase to 2024 without clarifying scope or accounting method creates a misleading impression of modest progress."
amzn_sr_302,Amazon,Emissions from our direct operations represent 19% of our carbon footprint.,SCOPE_BOUNDARY_UNCLEAR,0.35,C,Stating 19% without defining which scopes constitute 'direct operations' versus the total footprint obscures the boundary and may mislead readers about Amazon's full emissions responsibility.
amzn_sr_303,Amazon,We reduced emissions per shipped unit by 7% compared to 2024.,SCOPE_BOUNDARY_UNCLEAR,0.15,C,"An intensity metric (per shipped unit) can improve while absolute emissions rise, and the undefined scope boundary makes independent verification impossible."
amzn_sr_304,Amazon,We reduced emissions per shipped unit by 39% compared to 2019.,SCOPE_BOUNDARY_UNCLEAR,0.15,C,"A 39% intensity reduction since 2019 is a cherry-picked favorable metric that may mask absolute emissions growth, and the scope boundary remains undefined."
amzn_sr_311,Amazon,"In 2025, Amazon's data centers achieved a global PUE of 1.14.",CHERRY_PICKED_METRIC,0.15,C,"PUE of 1.14 is presented as a single global figure without fleet-wide averaging methodology or independent verification, and PUE alone does not address carbon footprint or energy source."
amzn_sr_315,Amazon,Amazon has made an investment in SMR developer X-energy to help bring 5 GW of new nuclear energy to the U.S. grid by 2039.,SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"The 5 GW / 2039 pledge has no interim milestones and represents an investment in a developer, not a committed energy delivery, creating an inflated impression of near-term clean energy action."
amzn_sr_316,Amazon,"Amazon expanded its existing nuclear energy relationship with Talen Energy, which will provide 1,900 MW of carbon-free nuclear power through 2042.",SCOPE2_METHOD_UNSTATED;SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.15,C,Claiming 'carbon-free nuclear power' without specifying market- vs. location-based accounting or how this power is attributed to Amazon's load obscures the actual emissions-reduction mechanism.
amzn_sr_320,Amazon,Amazon worked to support jurisdictional efforts to reduce deforestation in Southeast Asia and Brazil.,,0.7,B,"No specific programs, geographies, funding levels, or measurable outcomes are cited, rendering the claim unfalsifiable."
amzn_sr_323,Amazon,"In 2025, Amazon's inset projects helped reduce emissions by 199,400 metric tons of CO₂e.",SCOPE_BOUNDARY_UNCLEAR,0.15,C,"'Inset projects' are supply-chain offsets or avoided-emission credits rather than direct operational reductions, and presenting them without clarifying their offset nature and third-party verification misleads about actual emissions cuts."
amzn_sr_324,Amazon,Amazon co-founded The Climate Pledge in 2019 as a commitment for companies to reach net-zero carbon emissions by 2040.,OFFSET_UNDISCLOSED;SCOPE_BOUNDARY_UNCLEAR;FUTURE_PROMISE_NO_MILESTONE,0.15,C,"The net-zero pledge lacks interim milestones, no scope boundary defined, and relies on an unspecified mix of reductions and offsets/removals, creating an impression of commitment without accountability."
amzn_sr_326,Amazon,"The Amazon Sustainability Accelerator supports start-ups tackling energy, water, and waste challenges, with select companies piloting their innovations in Amazon's European operations in 2025.",SCOPE_BOUNDARY_UNCLEAR,0.15,B,"Describes a program in vague terms with no measurable outcomes, number of startups, or defined success criteria beyond a pilot reference."
amzn_sr_335,Amazon,"In Hong Kong, China, Amazon achieved policy breakthroughs with the Water Supplies Department to allow reclaimed water use in cooling towers, which had previously been restricted to fresh water only.",,0.7,A,"Specific, verifiable policy and operational claim with clear geographic boundary (Hong Kong Water Supplies Department), though no quantified water savings are provided."
amzn_sr_337,Amazon,"In Mississippi, U.S., Amazon became the first data center operator to commit to reclaimed water for cooling.",,0.7,B,"'First data center operator to commit' is an unfalsifiable superlative without a cited source or verifiable benchmark, and no volume or timeline is given."
amzn_sr_339,Amazon,"At the end of 2025, we had invested in 45 replenishment projects globally.",WATER_ACCOUNTING_VAGUE,0.15,A,"Concrete number (45 projects, end of 2025 date) is specific and checkable, though 'replenishment' accounting methodology is not explained."
amzn_sr_340,Amazon,We expect our 45 replenishment projects will collectively return more than 18 billion liters of water annually once completed.,SCOPE_BOUNDARY_UNCLEAR;WATER_ACCOUNTING_VAGUE,0.35,C,"The 18 billion liter figure is a future projection conditional on project completion with no timeline or interim milestones, and 'replenishment' accounting basis is undefined, risking misleading impression of current impact."
amzn_sr_342,Amazon,"Amazon's water replenishment projects restore watersheds and bring clean water, sanitation, and hygiene services to water-stressed communities.",WATER_ACCOUNTING_VAGUE,0.7,B,"Entirely vague rhetorical language with no quantification, geographic scope, or verifiable outcomes for the replenishment or WASH activities claimed."
amzn_sr_353,Amazon,"In 2025, 2% of Amazon's waste was diverted through incineration with energy recovery.",SCOPE_BOUNDARY_UNCLEAR,0.15,A,"Specific percentage with a defined year and disposal method, though the scope boundary (which operations) is not explicitly stated."
amzn_sr_357,Amazon,Amazon focuses on avoiding unnecessary packaging when possible.,,0.7,B,"'Focuses on avoiding unnecessary packaging when possible' is unfalsifiable rhetoric with no metrics, targets, or verifiable commitments."
amzn_sr_358,Amazon,Amazon focuses on reducing delivery packaging volume and weight.,,0.7,B,"'Focuses on reducing delivery packaging volume and weight' is vague aspiration with no baseline, targets, or measured outcomes provided."
amzn_sr_359,Amazon,Amazon prioritizes paper packaging designed to work with local residential recycling systems.,,0.7,B,"No measurable targets, percentages, or verifiable specifics; 'prioritizes' is unfalsifiable rhetoric."
amzn_sr_360,Amazon,Amazon is improving the recycled content in its packaging materials.,,0.7,B,"No baseline, no target percentage, no timeline—purely vague directional claim with no checkable specifics."
amzn_sr_362,Amazon,"Where eliminating single-use plastics is not yet feasible, Amazon works to increase the proportion of recycled content in its plastic materials.",,0.7,B,Conditional framing with no quantified targets or timelines makes the claim unfalsifiable.
amzn_sr_363,Amazon,Amazon collaborated with the National Renewable Energy Laboratory to develop a novel recycling technology.,,0.7,B,"Mentions a real collaboration partner but provides no details on the technology, its scale, or environmental impact, making it unverifiable in substance."
amzn_sr_380,Amazon,Amazon's commuter benefits reduce transportation costs while supporting environmental sustainability.,,0.7,B,"No quantified emissions reductions, participation rates, or methodology; 'supporting environmental sustainability' is unfalsifiable rhetoric."
amzn_sr_384,Amazon,Amazon encourages suppliers to reduce consumption of energy within their operations and supply chain.,,0.7,B,"Merely 'encourages' with no targets, metrics, compliance mechanisms, or verification—entirely unfalsifiable."
amzn_sr_385,Amazon,Amazon encourages suppliers to reduce consumption of water within their operations and supply chain.,,0.7,B,"Merely 'encourages' with no targets, metrics, compliance mechanisms, or verification—entirely unfalsifiable."
amzn_sr_386,Amazon,Amazon encourages suppliers to reduce generation of greenhouse gas emissions within their operations and supply chain.,,0.7,B,"Merely 'encourages' with no targets, metrics, compliance mechanisms, or verification—entirely unfalsifiable."
amzn_sr_387,Amazon,Amazon encourages suppliers to reduce generation of waste within their operations and supply chain.,,0.7,B,"Merely 'encourages' with no targets, metrics, compliance mechanisms, or verification—entirely unfalsifiable."
amzn_sr_388,Amazon,Amazon encourages suppliers to reduce generation of hazardous materials within their operations and supply chain.,,0.7,B,"Merely 'encourages' with no targets, metrics, compliance mechanisms, or verification—entirely unfalsifiable."
amzn_sr_389,Amazon,Amazon supports supplier decarbonization actions through a procurement training program designed to equip procurement teams with tools and knowledge needed to effectively engage suppliers on carbon emissions reductions.,,0.7,B,"The claim describes a training program in purely qualitative terms with no measurable outcomes, supplier participation numbers, or verifiable emissions reduction targets, making it unfalsifiable rhetoric."
